У хищных птиц самки крупнее и сильнее самцов?,Да
Дятлы умирают от сотрясения мозга?,Да
Собирают ли некоторые птицы себе на зиму запасы?,Да
У головастика передние лапы вырастают раньше задних?,Нет
В южных странах тараканы достигают размера с мышь?,Да
На Земле живут бабочки с размахом крыльев пятьдесят сантиметров?,Нет
В соревнованиях по конной выездке мужчины и женщины соревнуются на равных?,Да
Некоторые виды бамбука могут вырастать на девяносто сантиметров в день?,Да
Эвкалипт — самое высокое и быстрорастущее дерево в мире?,Да
Кенгуру в момент опасности развивают скорость шестьдесят пять километров в час?,Да
