Do birds of prey females are larger and stronger than males?,Y
Can woodpeckers die of concussions?,Y
Can any birds stock up for the winter?,Y
Does tadpoles front legs grow earlier than the hind ones?,N
Can cockroaches reach the size of a mouse in southern countries?,Y
Is there butterflies wingspan-size of fifty centimeters live on Earth?,N
Do men and women compete on an equal footing in equestrian dressage competitions?,Y
Can some types of bamboo grow ninety centimeters per day?,Y
Is Eucalyptus the tallest and fastest growing tree in the world?,Y
Can kangaroos develop a speed of sixty-five kilometers per hour at the moment of danger?,Y
